epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2360.55,1.46006,1.05657,1.023,0.55836,0.46693,0.45748,0.24581,1.72072,1.79746,1.46305,0.000620555,0.000620555,0.000620555
87,2381.62,1.45076,1.03196,1.0082,0.58459,0.46613,0.48026,0.25374,1.66708,1.81852,1.45111,0.000612981,0.000612981,0.000612981
88,2402.46,1.46682,1.06323,1.02751,0.54718,0.45789,0.46978,0.25604,1.67982,1.74668,1.45254,0.00060538,0.00060538,0.00060538
89,2423.64,1.45178,1.06645,1.01717,0.47866,0.45457,0.43733,0.23544,1.72223,1.79773,1.46234,0.000597754,0.000597754,0.000597754
90,2459.31,1.43977,1.04455,1.01567,0.55808,0.45647,0.46855,0.24863,1.70906,1.83728,1.45941,0.000590105,0.000590105,0.000590105
91,2504.74,1.44961,1.02768,1.00956,0.57479,0.45494,0.48113,0.26146,1.68006,1.8732,1.42568,0.000582435,0.000582435,0.000582435
92,2538.9,1.44049,1.03288,1.01204,0.52809,0.4779,0.4678,0.24504,1.66377,1.743,1.45884,0.000574746,0.000574746,0.000574746
93,2560.78,1.45719,1.05136,1.02025,0.54521,0.48966,0.47947,0.26461,1.66274,1.7312,1.43777,0.00056704,0.00056704,0.00056704
94,2587.57,1.45156,1.04727,1.02047,0.53925,0.4529,0.45421,0.24686,1.68659,1.78198,1.44669,0.000559318,0.000559318,0.000559318
95,2609.78,1.43128,1.02202,1.00698,0.52893,0.48035,0.47381,0.26353,1.67577,1.79639,1.44604,0.000551584,0.000551584,0.000551584
96,2631.38,1.43303,1.01734,1.01058,0.5318,0.46437,0.4752,0.25916,1.6595,1.72777,1.4383,0.000543837,0.000543837,0.000543837
97,2652.51,1.41735,1.00151,1.00514,0.51874,0.46515,0.46181,0.24642,1.69524,1.85688,1.46125,0.000536081,0.000536081,0.000536081
98,2673.18,1.45428,1.03055,1.01906,0.53145,0.45464,0.44924,0.24362,1.695,1.87703,1.44627,0.000528318,0.000528318,0.000528318
99,2694.31,1.43615,1.02561,1.00999,0.50019,0.46736,0.45665,0.24551,1.70629,1.83175,1.4434,0.000520548,0.000520548,0.000520548
100,2715.71,1.43517,1.01342,1.01046,0.49412,0.46793,0.45276,0.24987,1.65105,1.77907,1.42103,0.000512775,0.000512775,0.000512775
101,2736.62,1.4293,1.00646,1.01239,0.49595,0.47915,0.46535,0.24899,1.70845,1.79747,1.47469,0.000505,0.000505,0.000505
102,2757.6,1.41064,0.99914,1.00526,0.51114,0.48122,0.46077,0.24928,1.67792,1.80053,1.44656,0.000497225,0.000497225,0.000497225
103,2778.77,1.40929,0.99281,1.00763,0.56868,0.48152,0.49884,0.2643,1.66202,1.75153,1.44217,0.000489452,0.000489452,0.000489452
104,2800.46,1.39969,0.98126,1.00094,0.57551,0.44823,0.47591,0.26037,1.64788,1.75685,1.40856,0.000481682,0.000481682,0.000481682
105,2821.72,1.40675,0.97267,0.9958,0.57786,0.46289,0.49002,0.25899,1.67815,1.729,1.43094,0.000473919,0.000473919,0.000473919
106,2842.74,1.40167,0.9907,1.00649,0.5785,0.47623,0.49004,0.2674,1.67078,1.72129,1.42574,0.000466163,0.000466163,0.000466163
107,2864.09,1.41754,1.00022,1.00529,0.56045,0.48271,0.48329,0.26009,1.64253,1.77083,1.43314,0.000458416,0.000458416,0.000458416
108,2886.14,1.40546,0.98895,1.00467,0.53581,0.50235,0.4911,0.26495,1.6582,1.76623,1.41725,0.000450682,0.000450682,0.000450682
109,2907.26,1.41911,0.98749,1.00123,0.582,0.45771,0.48289,0.26203,1.64781,1.7596,1.42324,0.00044296,0.00044296,0.00044296
110,2929.04,1.44007,0.99845,1.00855,0.50551,0.46319,0.4559,0.25223,1.65527,1.77763,1.42409,0.000435254,0.000435254,0.000435254
111,2950.31,1.38619,0.96745,0.99257,0.58357,0.44258,0.47985,0.25517,1.67485,1.79124,1.44427,0.000427565,0.000427565,0.000427565
112,2971.74,1.42691,0.99582,1.00731,0.62002,0.45067,0.50039,0.27633,1.62073,1.73203,1.40005,0.000419895,0.000419895,0.000419895
113,2992.6,1.42292,0.99656,1.0075,0.56764,0.47673,0.48261,0.27049,1.62431,1.70389,1.40523,0.000412246,0.000412246,0.000412246
114,3013.91,1.39447,0.96007,0.99395,0.57715,0.49309,0.48786,0.26785,1.60914,1.73051,1.40085,0.00040462,0.00040462,0.00040462
115,3035.43,1.40381,0.97649,1.00764,0.58659,0.45451,0.47131,0.25585,1.6705,1.79452,1.44639,0.000397019,0.000397019,0.000397019
116,3056.79,1.40017,0.96095,0.99671,0.5418,0.48375,0.48576,0.26989,1.59766,1.67696,1.39634,0.000389445,0.000389445,0.000389445
117,3078.34,1.41272,0.97773,0.99726,0.58218,0.44901,0.48157,0.25652,1.66257,1.82462,1.43134,0.000381899,0.000381899,0.000381899
118,3099.46,1.38046,0.95996,0.99509,0.6036,0.47501,0.4836,0.26245,1.63195,1.74456,1.41371,0.000374383,0.000374383,0.000374383
119,3120.22,1.37793,0.93378,0.98942,0.56503,0.45679,0.4667,0.26097,1.63348,1.75761,1.40396,0.000366899,0.000366899,0.000366899
120,3141.35,1.3855,0.94293,0.98702,0.51496,0.49691,0.48018,0.2642,1.62304,1.7186,1.4038,0.00035945,0.00035945,0.00035945
121,3163.32,1.38446,0.94557,0.98609,0.59882,0.44275,0.47496,0.26439,1.65294,1.82275,1.43108,0.000352037,0.000352037,0.000352037
122,3184.37,1.39664,0.96703,0.99743,0.56406,0.47284,0.47308,0.26011,1.61357,1.72708,1.41764,0.000344661,0.000344661,0.000344661
123,3219.42,1.38412,0.94734,0.99542,0.53201,0.49951,0.48493,0.26703,1.65055,1.71607,1.43519,0.000337325,0.000337325,0.000337325
124,3246.84,1.36659,0.9277,0.98394,0.58834,0.4716,0.48711,0.26763,1.64315,1.70317,1.41536,0.00033003,0.00033003,0.00033003
